title,year,duration,rating,director,movie_url
"Three Billboards Outside Ebbing, Missouri",2017,1h 55min,8.1,Martin McDonagh,https://www.imdb.com/title/tt5027774/
Portrait of a Lady on Fire,2019,2h 2min,8.1,Céline Sciamma,https://www.imdb.com/title/tt8613070/
The Gold Rush,1925,1h 35min,8.2,Charles Chaplin,https://www.imdb.com/title/tt0015864/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=201"
To Be or Not to Be,1942,1h 39min,8.2,Ernst Lubitsch,https://www.imdb.com/title/tt0035446/
Rashomon,1950,1h 28min,8.2,Akira Kurosawa,https://www.imdb.com/title/tt0042876/
Tokyo Story,1953,2h 16min,8.2,Yasujirô Ozu,https://www.imdb.com/title/tt0046438/
The Treasure of the Sierra Madre,1948,2h 6min,8.2,John Huston,https://www.imdb.com/title/tt0040897/
All About Eve,1950,2h 18min,8.2,Joseph L. Mankiewicz,https://www.imdb.com/title/tt0042192/
Dial M for Murder,1954,1h 45min,8.2,Alfred Hitchcock,https://www.imdb.com/title/tt0046912/
Yojimbo,1961,1h 50min,8.2,Akira Kurosawa,https://www.imdb.com/title/tt0055630/
The Seventh Seal,1957,1h 36min,8.2,Ingmar Bergman,https://www.imdb.com/title/tt0050976/
Some Like It Hot,1959,2h 1min,8.2,Billy Wilder,https://www.imdb.com/title/tt0053291/
The Great Escape,1963,2h 52min,8.2,John Sturges,https://www.imdb.com/title/tt0057115/
For a Few Dollars More,1965,2h 12min,8.2,Sergio Leone,https://www.imdb.com/title/tt0059578/
Chinatown,1974,2h 10min,8.2,Roman Polanski,https://www.imdb.com/title/tt0071315/
Wild Strawberries,1957,1h 31min,8.2,Ingmar Bergman,https://www.imdb.com/title/tt0050986/
Judgment at Nuremberg,1961,2h 59min,8.2,Stanley Kramer,https://www.imdb.com/title/tt0055031/
The Message,1976,2h 57min,8.2,Moustapha Akkad,https://www.imdb.com/title/tt0074896/
Sholay,1975,2h 42min,8.2,Ramesh Sippy,https://www.imdb.com/title/tt0073707/
Monty Python and the Holy Grail,1975,1h 31min,8.2,Terry Gilliam,https://www.imdb.com/title/tt0071853/
The Invisible Guest,2016,1h 46min,8.1,Oriol Paulo,https://www.imdb.com/title/tt4857264/
Stalker,1979,2h 42min,8.1,Andrei Tarkovsky,https://www.imdb.com/title/tt0079944/
Dil Chahta Hai,2001,3h 3min,8.1,Farhan Akhtar,https://www.imdb.com/title/tt0292490/
Cool Hand Luke,1967,2h 7min,8.1,Stuart Rosenberg,https://www.imdb.com/title/tt0061512/
Andrei Rublev,1966,3h 25min,8.1,Andrei Tarkovsky,https://www.imdb.com/title/tt0060107/
The Battle of Algiers,1966,2h 1min,8.1,Gillo Pontecorvo,https://www.imdb.com/title/tt0058946/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=301"
Le Samouraï,1967,1h 41min,8.1,Jean-Pierre Melville,https://www.imdb.com/title/tt0062229/
Autumn Sonata,1978,1h 39min,8.2,Ingmar Bergman,https://www.imdb.com/title/tt0077711/
Persona,1966,1h 23min,8.1,Ingmar Bergman,https://www.imdb.com/title/tt0060827/
Paper Moon,1973,1h 42min,8.1,Peter Bogdanovich,https://www.imdb.com/title/tt0070510/
Solaris,1972,2h 47min,8.1,Andrei Tarkovsky,https://www.imdb.com/title/tt0069293/
Network,1976,2h 1min,8.1,Sidney Lumet,https://www.imdb.com/title/tt0074958/
Cries & Whispers,1972,1h 31min,8.1,Ingmar Bergman,https://www.imdb.com/title/tt0069467/
Barry Lyndon,1975,3h 5min,8.1,Stanley Kubrick,https://www.imdb.com/title/tt0072684/
Mirror,1975,1h 47min,8.1,Andrei Tarkovsky,https://www.imdb.com/title/tt0072443/
The Deer Hunter,1978,3h 3min,8.1,Michael Cimino,https://www.imdb.com/title/tt0077416/
Rocky,1976,2h,8.1,John G. Avildsen,https://www.imdb.com/title/tt0075148/
Monty Python's Life of Brian,1979,1h 34min,8.1,Terry Jones,https://www.imdb.com/title/tt0079470/
The Elephant Man,1980,2h 4min,8.1,David Lynch,https://www.imdb.com/title/tt0080678/
