title,url,discounted_price,original_price
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-16657.html,$1.19,$37.91 
Authentic Geekvape Aegis X 200W TC Box Mod - Stealth Black,https://www.cigabuy.com/authentic-geekvape-aegis-x-200w-tc-box-mod-stealth-black-p-16062.html,$50.21,$79.94 
5 x Authentic Wotofo nexMESH Clapton S A1+Ni80 0.15ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-s-a1ni80-015ohm-coil-p-20471.html,$4.52,$10.06 
Authentic VOOPOO DRAG X Plus MOD - Prussian Blue,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-prussian-blue-p-20577.html,$27.98,$31.17 
5 x Authentic VOOPOO PnP-TM2 Coil 0.8ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-tm2-coil-08ohm-p-19843.html,$10.00,$11.66 
Authentic VOOPOO DRAG X Plus 100W Pod Kit - Prussian Blue,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-100w-pod-kit-prussian-blue-p-20572.html,$34.53,$42.62 
Authentic THC Artemis RDTA - Silver Black,https://www.cigabuy.com/authentic-thc-artemis-rdta-silver-black-p-20220.html,$32.75,$68.16 
Authentic SMOK ARCFOX 230W KIT - Prism Rainbow,https://www.cigabuy.com/authentic-smok-arcfox-230w-kit-prism-rainbow-p-20738.html,$52.14,$54.89 
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Black,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-black-p-15776.html,$20.19,$32.81 
Authentic Uwell CROWN 5 V Box Kit  - Black,https://www.cigabuy.com/authentic-uwell-crown-5-v-box-kit-black-p-21061.html,$56.72,$79.84 
Authentic Geekvape L200 Aegis Legend 2 MOD - Silver,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-silver-p-21213.html,$40.45,$62.53 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Blue,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-blue-p-12624.html,$5.05,$50.07 
Authentic Geekvape L200 Aegis Legend 2 MOD - Classic Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-classic-black-p-21211.html,$40.45,$62.53 
Authentic IJOY Captain Link Mod - Black,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-black-p-20713.html,$24.81,$36.91 
Authentic Steam Crave Aromamizer Titan V2 RDTA - Silver,https://www.cigabuy.com/authentic-steam-crave-aromamizer-titan-v2-rdta-silver-p-20601.html,$52.34,$79.83 
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml 25ml - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-25ml-black-p-19980.html,$45.15,$79.12 
Authentic Uwell Aeglos Pod Kit - Grey,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-grey-p-20289.html,$15.49,$40.06 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Red,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-red-p-16659.html,$8.43,$37.91 
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Gunmetal,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-gunmetal-p-14041.html,$69.11,$94.44 
Authentic Geekvape Aegis Solo 100W TC Box Mod - Black,https://www.cigabuy.com/authentic-geekvape-aegis-solo-100w-tc-box-mod-black-p-14357.html,$31.93,$47.18 
Authentic Geekvape L200 Aegis Legend 2 MOD - Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-black-p-21210.html,$40.45,$62.53 
Authentic Geekvape L200 Aegis Legend 2 Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-classic-black-p-21204.html,$53.94,$84.70 
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit - Stainless Steel,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-stainless-steel-p-19979.html,$42.32,$75.87 
Authentic Geekvape L200 Aegis Legend 2 Kit - Silver,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-silver-p-21206.html,$53.94,$84.70 
50pcs SEA WOLF V3 Cleaning Organic Cotton Wick for E-cigarette 10pcs/pack,https://www.cigabuy.com/50pcs-sea-wolf-v3-cleaning-organic-cotton-wick-for-e-cigarette-10pcspack-p-21220.html,$1.19,$4.49 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-blue-p-20265.html,$23.79,$35.41 
Authentic Wotofo Profile RDTA  - Black,https://www.cigabuy.com/authentic-wotofo-profile-rdta-black-p-19384.html,$26.03,$42.87 
Authentic Wotofo Profile RDTA  - Stainless Steel,https://www.cigabuy.com/authentic-wotofo-profile-rdta-stainless-steel-p-19386.html,$25.39,$43.30 
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Purple,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-purple-p-10648.html,$2.88,$22.68 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Gunmetal,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-gunmetal-p-20606.html,$27.45,$28.94 
Authentic Geekvape L200 Aegis Legend 2 MOD - Navy Blue,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-navy-blue-p-21214.html,$40.45,$62.53 
5 x Authentic VOOPOO PnP-VM1 Mesh Coil 0.3ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-vm1-mesh-coil-03ohm-p-16295.html,$10.00,$13.28 
Authentic Uwell CROWN 5 V Box Kit  - Red,https://www.cigabuy.com/authentic-uwell-crown-5-v-box-kit-red-p-21059.html,$56.72,$79.84 
3 x Authentic VGOD STIG XL 700 Puffs DISPOSABLE POD Kit - SUMMER STRAWBERRY,https://www.cigabuy.com/3-x-authentic-vgod-stig-xl-700-puffs-disposable-pod-kit-summer-strawberry-p-21119.html,$15.64,$17.07 
Authentic Geekvape L200 Aegis Legend 2 Kit - Navy Blue,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-navy-blue-p-21207.html,$53.94,$84.70 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Brushed,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-brushed-p-20605.html,$23.16,$26.45 
Authentic IJOY Captain Link Mod - Blue,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-blue-p-20712.html,$24.81,$36.91 
50pcs SHOELACE Vape Cotton for RBA Atomizer DIY Building 10pcs/pack,https://www.cigabuy.com/50pcs-shoelace-vape-cotton-for-rba-atomizer-diy-building-10pcspack-p-21267.html,$5.15,$7.37 
Authentic THC Artemis RDTA - SS,https://www.cigabuy.com/authentic-thc-artemis-rdta-ss-p-20219.html,$29.90,$68.16 
4 x Authentic Uwell Aeglos Coil 0.8ohm,https://www.cigabuy.com/4-x-authentic-uwell-aeglos-coil-08ohm-p-20292.html,$8.41,$13.10 
4 x Authentic Uwell Aeglos UN2 meshed-H coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-aeglos-un2-meshed-h-coil-023ohm-p-20293.html,$9.13,$14.16 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Silver,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-silver-p-20268.html,$21.56,$35.41 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Black,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-black-p-20604.html,$26.78,$28.94 
Authentic Steam Crave Titan PWM V1.5 Mod - Silver,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-silver-p-19518.html,$51.34,$83.05 
5 x Authentic Aspire Nautilus 2 BVC Coil Head 0.7Ohm,https://www.cigabuy.com/5-x-authentic-aspire-nautilus-2-bvc-coil-head-07ohm-p-9921.html,$7.19,$7.46 
Authentic Aspire Nautilus 5pcs Replacement BVC Coil Head 1.8Ohm,https://www.cigabuy.com/authentic-aspire-nautilus-5pcs-replacement-bvc-coil-head-18ohm-p-8053.html,$7.19,$7.46 
Authentic VOOPOO DRAG X Plus MOD - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-smoky-grey-p-20575.html,$28.68,$31.58 
Authentic Geekvape L200 Aegis Legend 2 MOD - Red,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-red-p-21216.html,$40.45,$62.53 
Authentic Vandyvape GAUR-21 Mod - Flame Red Resin,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-flame-red-resin-p-20365.html,$38.65,$59.63 
Authentic VOOPOO DRAG 3 177W Kit - Prussian Blue,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-kit-prussian-blue-p-20562.html,$44.83,$48.72 
Authentic Vaporesso Luxe II 220W TC Mod - Black,https://www.cigabuy.com/authentic-vaporesso-luxe-ii-220w-tc-mod-black-p-19908.html,$46.32,$76.85 
Authentic IJOY Captain Link Mod - SS,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-ss-p-20709.html,$26.46,$36.91 
Authentic VOOPOO PnP Pod Tank 4.5ml - Black,https://www.cigabuy.com/authentic-voopoo-pnp-pod-tank-45ml-black-p-20119.html,$8.12,$8.65 
Authentic VOOPOO DRAG X Plus 100W Pod Kit - Classic,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-100w-pod-kit-classic-p-20570.html,$35.40,$42.48 
Authentic Vandyvape BERSERKER Mini V2 MTL RTA - Matte Black,https://www.cigabuy.com/authentic-vandyvape-berserker-mini-v2-mtl-rta-matte-black-p-20621.html,$29.29,$41.90 
Authentic VOOPOO DRAG X Plus MOD - Marsala,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-marsala-p-20578.html,$28.20,$31.33 
Authentic Steam Crave Titan PWM V1.5 Mod - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-gunmetal-p-19520.html,$51.54,$83.05 
Authentic Digiflavor Drop RDA V1.5 - Black,https://www.cigabuy.com/authentic-digiflavor-drop-rda-v15-black-p-20753.html,$19.15,$34.92 
Authentic Geekvape L200 Aegis Legend 2 MOD - Rainbow,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-mod-rainbow-p-21215.html,$40.45,$62.53 
Authentic Vandyvape RATH RDA - Black,https://www.cigabuy.com/authentic-vandyvape-rath-rda-black-p-21097.html,$24.20,$37.91 
Authentic VOOPOO Argus 40W Pod Kit - Vintage Grey & Black Silver,https://www.cigabuy.com/authentic-voopoo-argus-40w-pod-kit-vintage-grey-black-silver-p-20193.html,$24.40,$27.40 
